date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:33	78/78	U-----	200	untouched ('OK')	text/plain	etag:%22312ad0223cec82f0dd4e937eade2578d%22	https://visual-party-702743.framer.app/robots.txt		(from )
13:20:33	308198/308198	U--M-Z	200	updated ('OK')	text/html	etag:%2290b43877ab49f8fd8beaa9978731afc2%22	https://visual-party-702743.framer.app/	C:/Users/imclo/Desktop/Full%20Onazi%20Portfolio/Onazi%20Emmanuel%20Portfolio/visual-party-702743.framer.app/index.html	(from )
13:20:33	223/223	U-----	200	untouched ('')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	C:/Users/imclo/Desktop/Full%20Onazi%20Portfolio/Onazi%20Emmanuel%20Portfolio/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://visual-party-702743.framer.app/)
13:20:33	227/227	U-----	200	untouched ('')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	C:/Users/imclo/Desktop/Full%20Onazi%20Portfolio/Onazi%20Emmanuel%20Portfolio/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://visual-party-702743.framer.app/)
13:20:33	1525428/1525428	U-----	200	untouched ('')	image/png	etag:%22faefafa625c838ad648c34310b62306a%22	https://framerusercontent.com/assets/dt0RtjyT6R47awv340R7otEm0BM.png	C:/Users/imclo/Desktop/Full%20Onazi%20Portfolio/Onazi%20Emmanuel%20Portfolio/framerusercontent.com/assets/dt0RtjyT6R47awv340R7otEm0BM.png	(from https://visual-party-702743.framer.app/)
13:20:33	8598/8598	U-----	200	untouched ('')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	C:/Users/imclo/Desktop/Full%20Onazi%20Portfolio/Onazi%20Emmanuel%20Portfolio/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://visual-party-702743.framer.app/)
13:20:34	204575/204575	U-----	200	untouched ('')	image/png	etag:%22c0e5e619e022afc47db229eec1651342%22	https://framerusercontent.com/images/lm37AecktmwWDJyzIskF9O1Yg.png?scale-down-to=1024&width=1846&height=2582	C:/Users/imclo/Desktop/Full%20Onazi%20Portfolio/Onazi%20Emmanuel%20Portfolio/framerusercontent.com/images/lm37AecktmwWDJyzIskF9O1Yg0b0e.png	(from https://visual-party-702743.framer.app/)
13:20:34	704595/704595	U-----	200	untouched ('')	image/png	etag:%2283fa7a6eb398514450d8f97e1cd2c3d7%22	https://framerusercontent.com/images/lm37AecktmwWDJyzIskF9O1Yg.png?scale-down-to=2048&width=1846&height=2582	C:/Users/imclo/Desktop/Full%20Onazi%20Portfolio/Onazi%20Emmanuel%20Portfolio/framerusercontent.com/images/lm37AecktmwWDJyzIskF9O1Yg2dc2.png	(from https://visual-party-702743.framer.app/)
13:20:34	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2012:20:35%20GMT	https://fonts.gstatic.com/	C:/Users/imclo/Desktop/Full%20Onazi%20Portfolio/Onazi%20Emmanuel%20Portfolio/fonts.gstatic.com/index.html	(from https://visual-party-702743.framer.app/)
13:20:35	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2012:20:35%20GMT	https://fonts.gstatic.com/robots.txt		(from https://visual-party-702743.framer.app/)
